R‚fD‚tailCommande;R‚fCommande;R‚fProduit;Quantit‚;PrixUnitaire;Remise;FORFAIT;PrixUnitaire?;PrixUnitaireht;TVA
3814;3252;41;1;0,00;0;TRUE;1.406,25;0,00;0
3815;3252;;1;;0;TRUE;0,00;0,00;0
3816;3253;35;1;8.000,00;0;TRUE;0,00;8.000,00;0
3817;3253;;1;;0;TRUE;0,00;0,00;0
3818;3254;35;1;8.000,00;0;TRUE;0,00;8.000,00;0
3819;3254;;1;;0;TRUE;0,00;0,00;0
3820;3255;191;1;0,00;0;TRUE;2.800,00;0,00;0
3822;3256;191;1;0,00;0;TRUE;2.800,00;0,00;0
3823;3256;;1;;0;TRUE;0,00;0,00;0
3824;3257;256;1;38.000,00;0;TRUE;0,00;38.000,00;0
3825;3257;;1;;0;TRUE;0,00;0,00;0
3826;3258;35;1;8.000,00;0;TRUE;0,00;8.000,00;0
3827;3258;;1;;0;TRUE;0,00;0,00;0
3828;3259;192;1;0,00;0;TRUE;2.800,00;0,00;0
3829;3259;;1;;0;TRUE;0,00;0,00;0
3832;3247;191;1;0,00;0;TRUE;2.800,00;0,00;0
3834;3247;;1;;0;TRUE;0,00;0,00;0
3835;3255;;1;;0;TRUE;0,00;0,00;0
3836;316;;1;;0;TRUE;0,00;0,00;0
3838;304;;1;;0;TRUE;0,00;0,00;0
