id_categorie;categorie
1;ASSURANCE
2;VISITE TECHNIQUE
3;CARNET DE CIRCULATION
4;KIENZLE CONTEUR
5;EXTINCTEURS
6;VIGNETTE
7;LA GRIMA
8;CARTE GRISE
9;
10;
11;VISITE DE DISQUE
